,label,timestamps_start,timestamps_end
0,C,1.565882115e+18,1.5658822943503242e+18
1,F,1.5658822943901002e+18,1.5658824737802004e+18
2,S,1.5658824738199764e+18,1.5658826532100767e+18
3,Q,1.565882653249853e+18,1.5658828426237478e+18
4,I,1.5658828426635238e+18,1.5658830220934e+18
5,D,1.5658830221331763e+18,1.5658832015232763e+18
6,E,1.5658832015630523e+18,1.5658833809929288e+18
7,K,1.5658833810327048e+18,1.565883560383029e+18
8,L,1.565883560422805e+18,1.5658837398129052e+18
9,A,1.5658837398526812e+18,1.5658839192825574e+18
10,B,1.5658839193223334e+18,1.5658840987522097e+18
11,P,1.565884098791986e+18,1.565884278182086e+18
12,M,1.565884278221862e+18,1.5658844576517384e+18
13,H,1.5658844576915144e+18,1.5658846371213906e+18
14,J,1.5658846371611668e+18,1.5658848165114908e+18
15,G,1.5658848165512668e+18,1.565884995861815e+18
16,R,1.565884995901591e+18,1.5658851752519153e+18
17,O,1.5658851752916913e+18,1.565885355e+18
